ESWMinima	None
Con1Maxima	71
Pressure	Loading
0.01	1.4394927838
0.01	1.4394927838
0.01	1.4394927838
0.01	1.4394927838
0.02	2.1968636218
0.02	2.1968636218
0.02	2.1968636218
0.04	3.0191374177999997
0.04	3.0191374177999997
0.04	3.0191374177999997
0.05	3.2748881636
0.05	3.2748881636
0.05	3.2748881636
0.05	3.2748881636
0.06	3.4736230056
0.06	3.4736230056
0.06	3.4736230056
0.08	3.8117125332999997
0.08	3.8117125332999997
0.08	3.8117125332999997
0.1	4.0622014196
0.1	4.0622014196
0.1	4.0622014196
0.1	4.0622014196
0.2	5.0063897763
0.2	5.0063897763
0.2	5.0063897763
0.4	6.2742742527
0.4	6.2742742527
0.4	6.2742742527
0.5	6.7876682932
0.5	6.7876682932
0.5	6.7876682932
0.5	6.7876682932
0.6	7.056314179199999
0.6	7.056314179199999
0.6	7.056314179199999
0.8	7.8135172685
0.8	7.8135172685
0.8	7.8135172685
1.0	8.234800251900001
5.0	9.4039943768
10.0	9.5228953879
20.0	9.5870118018
30.0	9.6072440206
40.0	9.617604313500001
50.0	9.6252375516
60.0	9.6352191648
70.0	9.6398325661
80.0	9.637800678
90.0	9.6504472379
100.0	9.655111871799999
150.0	9.6601367485
200.0	9.6825055298
250.0	9.695004849
300.0	9.7069566672
350.0	9.7301370992
400.0	9.7272515037
450.0	9.7370122133
500.0	9.7435494298
550.0	9.7650670102
600.0	9.769822851799999
650.0	9.7953279116
700.0	9.788371870299999
750.0	9.7921020397
800.0	9.8002575874
850.0	9.837999983200001
900.0	9.816611631499999
950.0	9.8284643404
1000.0	9.877013126900001
1500.0	9.913256394600001
2000.0	10.0104416494
2500.0	10.0382509034
3000.0	10.093826590299999
3500.0	10.1070149162
4000.0	10.151702520599999
4500.0	10.205087821000001
5000.0	10.2070669047
5500.0	10.3514309189
6000.0	10.3626901194
6500.0	10.3727463724
7000.0	10.4592711603
7500.0	10.413411705
8000.0	10.4911257536
8500.0	10.5297633188
9000.0	10.5562405243
9500.0	10.6257326268
10000.0	10.5952476781
11000.0	10.542373557100001
12000.0	10.7683189194
13000.0	10.6883442625
14000.0	10.740140459000001
15000.0	10.993498341099999
16000.0	10.950520020699999
17000.0	10.879873782
18000.0	10.965369838900001
19000.0	10.997055058699999
20000.0	11.0269055893
21000.0	11.052802285599999
22000.0	11.004026010899999
23000.0	11.0511870557
25000.0	11.1988927888
27000.0	11.1246457368
28000.0	11.2007149884
30000.0	11.2047371328
35000.0	11.2648449964
40000.0	11.266639158199999
45000.0	11.424854464000001
50000.0	11.448075593299999
55000.0	11.5029804129
60000.0	11.4850087174
70000.0	11.499007717000001
80000.0	11.6525139532
90000.0	11.6188997354
100000.0	11.6188997354
